Category,Item,Justification,Part Number,Qty,Unit Cost,Total Cost,Changes & Reasoning
Processing,MCU,"Microcontroller for processing sensor data, camera vision (CV)",STM32N657X0H3Q,2,$20.58,$41.16,CHANGED: Swapped N655 -> N657 for Neural-ART NPU (Required for help with Computer Vision). Also matches our Dev board MCU now.
Processing,High Speed Crystal (HSE),Master clock for camera module,ECS-250-10-33B-CKY-TR3,2,$0.39,$0.78,ADDED: Necessary for proper camera operation. UPDATED: Part number changed ECS-250-10-33B-CWN-TR → ECS-250-10-33B-CKY-TR3 per JLCPCB BOM.
Processing,Low Speed Crystal (LSE),"Handles sleep mode for sensors, timekeeping",ABS07-32.768KHZ-T,2,$0.61,$1.22,"ADDED: Handles sleep modes for sensors, low power mode for device, small and inexpensive."
Processing,Programmer,Allow for STM32N655L0H3Q programming,STLINK-V3MINIE,1,$11.74,$11.74,"ADDED: Need a specific programmer for the STM32N657X0H3Q bare MCU, not just a USB."
Processing,Dev Board,"Testing, firmware writing prior to PCB completion",NUCLEO-N657X0-Q,1,$57.50,$57.50,
Vision,Camera,Low distortion camera module,IMX335,2,$25.19,$50.38,
Vision,ToF Sensors (Main board),Sensors for obstacle detection - FRONT,VL53L7CXV0GC/1,2,$7.88,$15.76,CHANGED: 1 on-board ToF sensor (front). Qty updated to reflect 2 assembled boards. Side/rear sensors are on SATEL breakouts (separate line item).
Vision,ToF Sensors (Breakout),Sensors for obstacle detection - REAR / SIDES,SATEL-VL53L7 (2 pack),2,$18.45,$36.90,"ADDED: Donetski project description states ""multiple IR sensors positioned around the wearable device will detect ostactles in DIFFERENT DIRECTIONS!!! (front, sides and rear)"" "
Power,LiPo Battery,Flat batteries for portability,KBT 3.7V (2 pack),1,$21.99,$21.99,
Power,Buck Converter,Stable input power necessary,TPS62132RGTR,2,$1.93,$3.86,
Power,P-MOSFET,Reverse polarity protection,DMG2301L-7,2,$0.26,$0.52,"ADDED: If the batteries are plugged in with the wrong orientation, the board will not be bricked"
Power,Polyfuse,Device protection,MF-PSMF075X-2,2,$0.36,$0.72,ADDED: Protects against potential current surges
Power,TVS Diode,ESD protection,SD05.TCT,2,$1.01,$2.02,ADDED: ESD from touching can damage the components
